,Date,Open,High,Low,Close,Adj Close,Volume,Hammer,Upinclude,3UP,SharpUP,Meteor,Downinclude,3DOWN,SharpDOWN,1days,5days,10days,1_avgRate,5_avgRate,10avgRate,1_highRate,5_highRate,10_highRate,1_lowRate,5_lowRate,10_lowRate
0,1997-07-01,744.97998,760.52002,744.669983,758.030029,758.030029,0.0,0,0,0,0,0,0,0,0,0.0254078971322651,0.01280946747295686,-0.0039312967639703045,0.0254078971322651,0.022518858550391308,0.016194570571557064,0.0254078971322651,0.03325720622606099,0.03325720622606099,0.007070941512793416,0.004669970666821621,-0.012611714093453186
1,1997-07-02,763.3900150000001,777.289978,763.3900150000001,777.289978,777.289978,18542200.0,0,0,0,0,0,0,0,0,-0.002611596775277114,-0.006818546681429116,-0.04833460878611773,-0.002611596775277114,-0.004181162361519597,-0.013818496576576144,0.006278229667332713,0.007654816308463985,0.007654816308463985,-0.005171761007833231,-0.020224075242097128,-0.0510748268003528
2,1997-07-03,778.820007,782.169983,773.27002,775.26001,775.26001,14529900.0,0,0,0,0,0,0,0,0,0.008306893064173426,-0.009661261903603058,-1.0,0.008306893064173426,-0.0035059277725416394,-0.11123624434078572,0.010293295019821791,0.010293295019821791,0.010293295019821791,-0.0017542321059484944,-0.01765859559813998,-1.0
3,1997-07-04,776.02002,783.23999,773.900024,781.700012,781.700012,24264500.0,0,0,0,0,0,0,0,0,-0.010477167550561606,-0.01714215657450957,-0.04391712482153576,-0.010477167550561606,-0.015143932734134325,-0.12294999888013311,-0.00505310469408049,-0.00505310469408049,-0.00505310469408049,-0.012229751635209118,-0.025751573098351188,-1.0
4,1997-07-07,777.700012,777.75,772.1400150000001,773.51001,773.51001,20341700.0,0,0,0,0,0,0,0,0,-0.0074595285457261795,-0.011712838725900898,-0.04211970960789502,-0.0074595285457261795,-0.007058745109193865,-0.11787567597218285,0.0006334630368907135,0.0006334630368907135,0.0006334630368907135,-0.015436132494264565,-0.015436132494264565,-1.0
5,1997-07-08,773.0,774.0,761.570007,767.73999,767.73999,29850400.0,0,0,0,0,0,0,0,0,0.00553572831343585,-0.016529036086813775,-0.05439342817090986,0.00553572831343585,-0.0029020116563161836,-0.11668533288203467,0.005861359390696874,0.007072697880437406,0.007072697880437406,-0.0049105413930568,-0.025099668183234836,-1.0
6,1997-07-09,768.26001,772.23999,763.969971,771.98999,771.98999,24262900.0,0,0,0,0,0,0,0,0,-0.005466353261912138,-0.04180108475240729,-0.053640556919656524,-0.005466353261912138,-0.01675150502922964,-0.12691225905662334,0.001528508161096731,0.001528508161096731,0.001528508161096731,-0.00840683180360935,-0.044560115345537166,-1.0
7,1997-07-10,771.98999,773.169983,765.5,767.77002,767.77002,46428600.0,0,0,0,0,0,0,0,0,0.0006902692032699775,-1.0,-0.03742011442436888,0.0006902692032699775,-0.2113471794587655,-0.12585543233376056,0.004311182924282342,0.004311182924282342,0.004311182924282342,-0.006590512612097088,-1.0,-1.0
8,1997-07-11,766.909973,771.080017,762.710022,768.299988,768.299988,21242100.0,0,0,0,0,0,0,0,0,-0.005011032227166923,-0.02724195408942265,-0.04511255179142337,-0.005011032227166923,-0.2173395775192956,-0.1309696663694339,0.003162816657495515,0.003162816657495515,0.003162816657495515,-0.006104390307500651,-1.0,-1.0
9,1997-07-14,767.169983,770.72998,763.6099849999999,764.450012,764.450012,41323400.0,0,0,0,0,0,0,0,0,-0.01229645346646946,-0.03076724263299513,-0.039937247067503456,-0.01229645346646946,-0.21955133751767147,-0.13058672043032155,-0.0003270325018975839,-0.0003270325018975839,-0.0003270325018975839,-0.020903971154624057,-1.0,-1.0
10,1997-07-15,762.929993,764.200012,748.469971,755.049988,755.049988,53044200.0,0,0,0,0,0,0,0,0,-0.02030331401051555,-0.03850077274618802,-0.02962717085693145,-0.02030331401051555,-0.21753526628756142,-0.12272564329873212,-0.006224769319511658,-0.006224769319511658,-0.006224769319511658,-0.023124245119516496,-1.0,-1.0
11,1997-07-16,750.349976,750.349976,737.590027,739.719971,739.719971,525800.0,0,0,0,0,0,0,0,0,-1.0,-0.012355964903372874,-0.0173443417820065,-1.0,-0.2037905963201309,-0.10627937217068854,-1.0,0.011274573253342801,0.011274573253342801,-1.0,-1.0,-1.0
12,1997-07-17,0.0,0.0,0.0,0.0,0.0,888600.0,0,0,0,0,0,0,0,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
13,1997-07-18,737.22998,748.0599980000001,736.710022,747.369995,747.369995,751400.0,0,0,0,0,0,0,0,0,-0.008616885937466678,-0.01837106131080357,-0.02130134084390156,-0.008616885937466678,-0.017843903942116414,-0.020400868381129023,0.0002007372533066043,0.0002007372533066043,0.0002007372533066043,-0.013982380975837816,-0.03438726758089883,-0.034748479566670265
14,1997-07-21,741.02002,747.52002,736.919983,740.929993,740.929993,522400.0,0,0,0,0,0,0,0,0,-0.020177362424576573,-0.009461096279307912,-0.009096663738378363,-0.020177362424576573,-0.011199436489811277,-0.012796072624367305,0.0002969659779989975,0.008016954443899937,0.008016954443899937,-0.02357843678221838,-0.025994372183553827,-0.026358723745173007
