DATE,NEWORDER
2007-09-01,65178.0
2007-10-01,65144.0
2007-11-01,65239.0
2007-12-01,68163.0
2008-01-01,68229.0
2008-02-01,66452.0
2008-03-01,66337.0
2008-04-01,69555.0
2008-05-01,68572.0
2008-06-01,67759.0
2008-07-01,67754.0
2008-08-01,66479.0
2008-09-01,63556.0
2008-10-01,59439.0
2008-11-01,60513.0
2008-12-01,55732.0
2009-01-01,49523.0
2009-02-01,50247.0
2009-03-01,48959.0
2009-04-01,47043.0
2009-05-01,48777.0
2009-06-01,50508.0
2009-07-01,51053.0
2009-08-01,50126.0
2009-09-01,52991.0
2009-10-01,52061.0
2009-11-01,52778.0
2009-12-01,54427.0
2010-01-01,52365.0
2010-02-01,53386.0
2010-03-01,56130.0
2010-04-01,52604.0
2010-05-01,57162.0
2010-06-01,59728.0
2010-07-01,56453.0
2010-08-01,58633.0
2010-09-01,59839.0
2010-10-01,57751.0
2010-11-01,60426.0
2010-12-01,61858.0
2011-01-01,60696.0
2011-02-01,59049.0
2011-03-01,62057.0
2011-04-01,61957.0
2011-05-01,63863.0
2011-06-01,63492.0
2011-07-01,64870.0
2011-08-01,64663.0
2011-09-01,65559.0
2011-10-01,67585.0
2011-11-01,65081.0
2011-12-01,68520.0
2012-01-01,67740.0
2012-02-01,69729.0
2012-03-01,69443.0
2012-04-01,67904.0
2012-05-01,69087.0
2012-06-01,66981.0
2012-07-01,65108.0
2012-08-01,63671.0
2012-09-01,63851.0
2012-10-01,65817.0
2012-11-01,66737.0
2012-12-01,66397.0
2013-01-01,69666.0
2013-02-01,66186.0
2013-03-01,65911.0
2013-04-01,67245.0
2013-05-01,69054.0
2013-06-01,68803.0
2013-07-01,65978.0
2013-08-01,65882.0
2013-09-01,66200.0
2013-10-01,64322.0
2013-11-01,68263.0
2013-12-01,66857.0
2014-01-01,67962.0
2014-02-01,67110.0
2014-03-01,68192.0
2014-04-01,66236.0
2014-05-01,65504.0
2014-06-01,69424.0
2014-07-01,67521.0
2014-08-01,68353.0
2014-09-01,69215.0
2014-10-01,65372.0
2014-11-01,64362.0
2014-12-01,65561.0
2015-01-01,65854.0
2015-02-01,64254.0
2015-03-01,64321.0
2015-04-01,63970.0
2015-05-01,62649.0
2015-06-01,63225.0
2015-07-01,63979.0
2015-08-01,63465.0
2015-09-01,63285.0
2015-10-01,63011.0
2015-11-01,62254.0
2015-12-01,59922.0
2016-01-01,61849.0
2016-02-01,60788.0
2016-03-01,60517.0
2016-04-01,60503.0
2016-05-01,59218.0
2016-06-01,59724.0
2016-07-01,60456.0
2016-08-01,61821.0
2016-09-01,60102.0
2016-10-01,60055.0
2016-11-01,60578.0
2016-12-01,60470.0
2017-01-01,62355.0
2017-02-01,62687.0
2017-03-01,63108.0
2017-04-01,63572.0
2017-05-01,63719.0
2017-06-01,63456.0
2017-07-01,64123.0
2017-08-01,64555.0
2017-09-01,68024.0
2017-10-01,67140.0
2017-11-01,65101.0
2017-12-01,66707.0
2018-01-01,66237.0
2018-02-01,67522.0
2018-03-01,66828.0
2018-04-01,67882.0
2018-05-01,68034.0
2018-06-01,68784.0
2018-07-01,69973.0
2018-08-01,69477.0
2018-09-01,69184.0
2018-10-01,69904.0
2018-11-01,69052.0
2018-12-01,67964.0
2019-01-01,68935.0
2019-02-01,69166.0
2019-03-01,69396.0
2019-04-01,68629.0
2019-05-01,68992.0
